"","international.plan","voice.mail.plan","number.vmail.messages","number.customer.service.calls","total.charge","charge_category","minutes_category","Avg_Min_call","Churn"
"65","1","1",-0.567533059487881,"2",-1.38281660657083,"2","2","2","1"
"66","1","2",2.60261231434524,"2",-0.851154187223881,"2","2","2","1"
"67","2","1",-0.567533059487881,"0",1.08279256865341,"3","3","3","1"
"68","2","1",-0.567533059487881,"0",-1.24743045145832,"2","2","2","1"
"69","1","1",-0.567533059487881,"1",0.388073831105255,"3","2","3","1"
"70","1","1",-0.567533059487881,"4",-0.425231319680136,"2","2","2","2"
"71","1","1",-0.567533059487881,"3",1.24288422652368,"3","3","3","1"
"72","1","2",0.0737553785103487,"0",0.934559552106861,"3","3","3","1"
"73","1","1",-0.567533059487881,"3",0.527412866659011,"3","2","3","1"
"74","1","1",-0.567533059487881,"1",0.313957322831981,"3","2","2","1"
"75","1","1",-0.567533059487881,"0",0.55903591018894,"3","2","2","1"
"76","1","1",-0.567533059487881,"1",-0.395584716370827,"2","2","3","1"
"77","1","1",-0.567533059487881,"0",2.19849307319376,"4","3","3","2"
"78","1","1",-0.567533059487881,"4",-2.20134118153999,"1","1","2","2"
"79","1","1",-0.567533059487881,"2",0.105442879556505,"3","2","2","1"
"80","1","1",-0.567533059487881,"1",-0.300715585781036,"2","2","3","1"
"81","1","1",-0.567533059487881,"1",1.39605834362178,"3","3","3","1"
"82","2","1",-0.567533059487881,"3",1.03338156313789,"3","3","3","1"
"83","1","2",1.36548241236158,"3",-0.879812570422882,"2","2","2","1"
"84","1","2",1.2881617934876,"1",1.74490004256132,"3","3","3","1"
"85","1","1",-0.567533059487881,"2",0.93258311188624,"3","3","3","2"
"86","1","2",1.6747648878575,"0",0.695410285411764,"3","3","3","1"
"87","1","1",-0.567533059487881,"4",-0.868942149209469,"2","2","2","2"
"88","1","1",-0.567533059487881,"1",0.602517595042594,"3","3","3","1"
"89","1","2",2.13868860110137,"2",-1.06559795116122,"2","2","2","1"
"90","1","1",-0.567533059487881,"1",1.49586857476312,"3","3","3","2"
"91","1","1",-0.567533059487881,"1",-1.04188066851377,"2","2","2","1"
"92","1","1",-0.567533059487881,"0",0.249723015661811,"3","2","2","2"
"93","1","1",-0.567533059487881,"1",-1.00235186410136,"2","2","3","1"
"94","1","1",-0.567533059487881,"3",1.29427167225982,"3","3","3","1"
"95","1","1",-0.567533059487881,"3",-0.419301999018274,"2","2","3","1"
"96","1","1",-0.567533059487881,"1",0.465154999709461,"3","2","2","1"
"97","1","1",-0.567533059487881,"0",-0.277986523243899,"2","2","3","1"
"98","1","1",-0.567533059487881,"4",0.271463858088639,"3","3","3","1"
"99","1","1",-0.567533059487881,"1",0.326804184266016,"3","2","2","2"
"100","1","1",-0.567533059487881,"2",1.56306754226422,"3","3","3","2"
"101","1","2",1.05619993686567,"4",-0.22363441717683,"2","2","2","1"
"102","1","1",-0.567533059487881,"0",-0.333326849421276,"2","2","2","1"
"103","1","1",-0.567533059487881,"0",-1.25039511178925,"2","2","2","1"
"104","1","1",-0.567533059487881,"1",-0.644616184169025,"2","2","2","1"
"105","1","1",-0.567533059487881,"1",-0.149517908903557,"2","3","3","1"
"106","1","1",-0.567533059487881,"4",0.852537282951104,"3","3","3","1"
"107","1","2",1.6747648878575,"2",1.6184078684416,"3","3","3","1"
"108","1","2",1.05619993686567,"1",-1.29190035642228,"2","2","2","1"
"109","1","2",1.90672674447943,"1",-1.03792778807253,"2","2","2","1"
"110","1","1",-0.567533059487881,"3",0.552118369416769,"3","3","2","1"
"111","1","1",-0.567533059487881,"1",0.30703978205981,"3","3","3","1"
"112","1","1",-0.567533059487881,"2",0.430567295848599,"3","3","3","1"
"113","1","1",-0.567533059487881,"4",-0.235493058500554,"2","2","2","1"
"114","1","1",-0.567533059487881,"1",-0.564570355233891,"2","2","2","1"
"115","1","1",-0.567533059487881,"1",-2.27517936618105,"1","2","2","1"
"116","2","2",2.67993293321922,"0",0.716162907728281,"3","3","2","2"
"117","1","1",-0.567533059487881,"1",-1.23458359002428,"2","1","2","1"
"118","1","1",-0.567533059487881,"1",1.72019453980356,"3","3","3","2"
"119","1","2",2.21600921997535,"2",-1.590342829736,"2","2","2","1"
"120","1","1",-0.567533059487881,"2",0.822890679641795,"3","3","2","1"
"121","1","1",-0.567533059487881,"1",0.799173396994348,"3","3","3","1"
"122","1","2",1.13352055573965,"0",-0.273045422692346,"2","2","2","1"
"123","1","1",-0.567533059487881,"3",0.109395759997746,"3","3","2","1"
"124","1","1",-0.567533059487881,"1",-1.08635057347774,"2","2","2","1"
"125","1","1",-0.567533059487881,"2",-1.10809141590456,"2","2","2","1"
"126","1","1",-0.567533059487881,"1",0.873289905267621,"3","3","3","1"
"127","1","1",-0.567533059487881,"4",-2.43724746427194,"1","1","2","2"
"128","1","2",1.52012365010954,"4",-0.323444648318173,"2","2","2","2"
"129","1","1",-0.567533059487881,"2",-1.68916484076703,"2","2","2","1"
"130","1","2",2.21600921997535,"3",0.506660244342493,"3","3","2","1"
"131","1","1",-0.567533059487881,"3",-0.663392366264923,"2","2","2","1"
"132","1","1",-0.567533059487881,"1",-0.452901482768825,"2","2","2","1"
"133","1","1",-0.567533059487881,"1",1.35158843865781,"3","3","2","1"
"134","1","1",-0.567533059487881,"4",0.280357839081431,"3","3","3","1"
"135","1","1",-0.567533059487881,"1",0.292216480405155,"3","3","2","1"
"136","2","1",-0.567533059487881,"3",-0.84522486656202,"2","2","2","1"
"137","1","2",1.05619993686567,"5",0.0985253387843321,"3","3","2","1"
"138","1","1",-0.567533059487881,"3",0.486895842136287,"3","3","2","1"
"139","1","2",2.21600921997535,"1",-0.268104322140794,"2","2","3","1"
"140","1","2",1.21084117461363,"2",-0.182129172543797,"2","2","3","1"
"141","1","1",-0.567533059487881,"1",0.128171942093642,"3","3","3","1"
"142","1","2",2.44797107659728,"0",0.744821290927281,"3","3","3","1"
"143","1","2",1.59744426898352,"3",-0.332338629310966,"2","2","2","1"
"144","1","1",-0.567533059487881,"1",1.10749807141117,"3","3","3","1"
"145","2","1",-0.567533059487881,"2",-0.0961540229467996,"2","3","2","2"
"146","1","1",-0.567533059487881,"3",0.232923273786536,"3","2","2","1"
"147","1","1",-0.567533059487881,"1",-0.436101740893549,"2","2","3","1"
"148","2","1",-0.567533059487881,"1",1.34961199843719,"3","3","2","1"
"149","1","1",-0.567533059487881,"1",-0.0506958978725257,"2","2","2","1"
"150","1","2",0.0380697889945444,"2",1.38321148218775,"3","3","3","1"
"151","1","1",-0.567533059487881,"1",0.284310719522673,"3","2","3","1"
"152","1","1",-0.567533059487881,"1",-0.816566483363022,"2","3","2","1"
"153","1","1",-0.567533059487881,"1",-0.188058493205658,"2","2","2","1"
"154","1","1",-0.567533059487881,"1",0.812020258428383,"3","3","2","1"
"155","1","1",-0.567533059487881,"5",1.22707270475872,"3","3","3","1"
"156","1","1",-0.567533059487881,"0",1.02053470170386,"3","3","3","1"
"157","1","1",-0.567533059487881,"0",1.75369128342403,"4","3","3","2"
"158","1","2",1.21084117461363,"0",0.360403668016567,"3","3","2","1"
"159","1","1",-0.567533059487881,"1",0.426614415407358,"3","3","3","1"
"160","1","2",1.2881617934876,"1",-0.962823059688948,"2","2","2","1"
"161","1","1",-0.567533059487881,"0",-1.34229958204811,"2","2","2","1"
"162","1","1",-0.567533059487881,"0",1.24387244663399,"3","3","3","1"
"163","1","2",2.21600921997535,"3",0.599552934711663,"3","3","3","1"
"164","1","1",-0.567533059487881,"1",-1.70398814242169,"2","2","2","1"
"165","1","1",-0.567533059487881,"1",-0.260198561258313,"2","2","2","1"
"166","1","2",1.98404736335341,"2",1.33972979733409,"3","3","3","1"
"167","1","2",1.82940612560545,"1",0.0589965343719209,"3","3","2","1"
"168","1","1",-0.567533059487881,"1",1.00867606038014,"3","3","3","1"
"169","1","2",2.3706504577233,"1",-0.585322977550406,"2","2","2","1"
"170","1","1",-0.567533059487881,"0",0.425626195297048,"3","2","3","1"
"171","1","1",-0.567533059487881,"1",0.765573913243797,"3","2","2","1"
"172","1","2",1.52012365010954,"2",-0.380761414716171,"2","2","2","1"
"173","1","1",-0.567533059487881,"3",-0.622875341742199,"2","3","3","1"
"174","1","1",-0.567533059487881,"1",-1.2266778291418,"2","2","2","1"
"175","1","1",-0.567533059487881,"0",0.308028002170119,"3","3","2","1"
"176","1","1",-0.567533059487881,"2",0.839690421517071,"3","3","2","1"
"177","1","1",-0.567533059487881,"0",-0.616946021080337,"2","2","2","1"
"178","1","1",-0.567533059487881,"2",0.617340896697249,"3","3","3","1"
"179","1","1",-0.567533059487881,"3",0.022432390290438,"2","2","3","1"
"180","1","1",-0.567533059487881,"3",1.3693764006434,"3","3","3","1"
"181","2","2",1.21084117461363,"4",0.741856630596348,"3","3","2","1"
"182","1","1",-0.567533059487881,"5",-2.33509766367195,"1","1","2","2"
"183","1","2",2.21600921997535,"2",-0.922306035166226,"2","2","2","1"
"184","1","1",-0.567533059487881,"2",0.724068668610765,"3","3","3","1"
"185","2","1",-0.567533059487881,"3",1.36641174031247,"3","3","3","1"
"186","1","1",-0.567533059487881,"1",1.33577691689285,"3","3","2","1"
"187","1","1",-0.567533059487881,"1",-1.51919098179366,"2","2","2","1"
"188","1","1",-0.567533059487881,"2",1.24387244663399,"3","2","2","1"
"189","1","1",-0.567533059487881,"1",-0.739485314758816,"2","2","2","1"
"190","1","1",-0.567533059487881,"1",0.86933702482638,"3","3","3","1"
"191","1","1",-0.567533059487881,"0",-1.3798519462399,"2","2","2","1"
"192","1","1",-0.567533059487881,"1",-0.834354445348607,"2","2","2","1"
"193","1","1",-0.567533059487881,"2",0.445390597503253,"3","3","3","1"
"194","1","1",-0.567533059487881,"0",-0.838307325789848,"2","2","2","1"
"195","1","2",1.21084117461363,"1",1.16679127802978,"3","2","3","1"
"196","1","2",1.21084117461363,"1",-0.0803425011818342,"2","2","3","1"
"197","1","1",-0.567533059487881,"0",-0.412384458246102,"2","3","2","1"
"198","1","1",-0.567533059487881,"2",2.18070511120817,"4","3","3","2"
"199","2","2",1.44280303123556,"4",2.22122213573089,"4","3","3","2"
"200","1","1",-0.567533059487881,"0",-1.55871978620607,"2","2","2","1"
"201","1","2",1.2881617934876,"3",-0.118883085483937,"2","3","2","1"
"202","1","1",-0.567533059487881,"2",1.32787115601037,"3","3","3","1"
"203","1","1",-0.567533059487881,"3",0.567929891181734,"3","3","3","1"
"204","1","1",-0.567533059487881,"2",-0.871906809540399,"2","2","3","1"
"205","1","1",-0.567533059487881,"1",-0.0200610744529049,"2","3","3","1"
"206","1","2",2.21600921997535,"1",-1.15552598119946,"2","2","2","1"
"207","1","1",-0.567533059487881,"2",0.0856784773502991,"3","2","2","1"
"208","1","1",-0.567533059487881,"3",0.235887934117467,"3","3","3","1"
"209","1","1",-0.567533059487881,"3",0.470096100261013,"3","3","3","1"
"210","1","1",-0.567533059487881,"3",1.26758972928144,"3","3","3","1"
"211","1","1",-0.567533059487881,"1",0.624258437469421,"3","2","3","1"
"212","2","1",-0.567533059487881,"0",0.800161617104657,"3","3","3","1"
"213","1","2",1.2881617934876,"1",-0.389655395708964,"2","2","2","1"
"214","1","2",1.82940612560545,"1",-0.692050749463922,"2","2","2","1"
"215","2","1",-0.567533059487881,"2",0.639081739124076,"3","2","2","2"
"216","1","1",-0.567533059487881,"3",-0.0595898788653181,"2","2","2","1"
"217","1","1",-0.567533059487881,"0",-0.713791591890749,"2","2","2","1"
"218","1","1",-0.567533059487881,"3",0.332733504927878,"3","3","3","1"
"219","1","1",-0.567533059487881,"1",1.58480838469105,"3","3","2","2"
"220","1","1",-0.567533059487881,"0",-0.180152732323177,"2","2","2","1"
"221","1","1",-0.567533059487881,"3",-0.245375259603657,"2","2","2","1"
"222","1","2",1.13352055573965,"1",-0.265139661809865,"2","2","3","1"
"223","1","1",-0.567533059487881,"1",-0.203870014970625,"2","3","3","1"
"224","1","1",-0.567533059487881,"2",-0.325421088538793,"2","2","2","1"
"225","1","1",-0.567533059487881,"2",-1.95005494988896,"1","2","2","1"
"226","1","1",-0.567533059487881,"1",0.858466603612968,"3","3","3","1"
"227","1","1",-0.567533059487881,"3",0.841666861737691,"3","3","3","1"
"228","1","2",1.52012365010954,"2",-0.56358213512358,"2","2","2","1"
"229","1","2",1.21084117461363,"4",1.64212515108905,"3","3","2","1"
"230","1","2",1.13352055573965,"0",1.09662765019775,"3","3","3","1"
"231","2","1",-0.567533059487881,"0",1.69647725715611,"3","3","3","2"
"232","2","2",2.21600921997535,"1",1.0818043485431,"3","3","3","1"
"233","1","1",-0.567533059487881,"3",0.520495325886839,"3","3","2","1"
"234","1","1",-0.567533059487881,"0",-0.216716876404659,"2","2","2","1"
"235","2","1",-0.567533059487881,"1",0.323839523935085,"3","3","2","1"
"236","1","1",-0.567533059487881,"5",-0.714779812001058,"2","2","2","2"
"237","1","2",2.52529169547126,"2",-0.193987813867521,"2","2","2","1"
"238","1","1",-0.567533059487881,"3",-1.82455099587954,"2","2","2","1"
"239","1","1",-0.567533059487881,"0",-2.16647515404691,"1","2","2","1"
"240","1","1",-0.567533059487881,"1",-0.362973452730586,"2","2","2","1"
"241","1","1",-0.567533059487881,"0",-0.226599077507762,"2","2","2","1"
"242","2","1",-0.567533059487881,"2",-1.16343174208194,"2","2","2","2"
"243","1","1",-0.567533059487881,"1",1.3594941995403,"3","3","3","1"
"244","1","1",-0.567533059487881,"3",0.439461276841393,"3","3","3","1"
"245","1","1",-0.567533059487881,"0",1.53342093895491,"3","4","4","2"
"246","1","1",-0.567533059487881,"0",-1.47570929694,"2","2","2","1"
"247","1","2",2.29332983884932,"0",-2.55286921717825,"1","2","2","1"
"248","1","1",-0.567533059487881,"0",0.517530665555908,"3","3","3","1"
"249","1","1",-0.567533059487881,"4",0.213158871580329,"3","3","3","1"
"250","1","2",1.21084117461363,"2",0.373250529450601,"3","3","2","1"
"251","1","2",1.6747648878575,"4",-0.633745762955612,"2","2","3","2"
"252","1","1",-0.567533059487881,"4",0.294192920625776,"3","2","2","1"
"253","1","1",-0.567533059487881,"3",0.563977010740492,"3","3","3","1"
"254","1","2",2.60261231434524,"0",-0.641651523838095,"2","2","3","1"
"255","2","1",-0.567533059487881,"0",-0.0892364821746281,"2","3","3","1"
"256","1","2",1.90672674447943,"4",-0.128765286587041,"2","2","2","1"
"257","1","1",-0.567533059487881,"1",-0.81261360292178,"2","2","2","1"
"258","1","1",-0.567533059487881,"1",-1.1110560762355,"2","2","2","1"
"259","2","1",-0.567533059487881,"1",-2.04788874080968,"1","2","2","2"
"260","1","1",-0.567533059487881,"1",-0.311586006994449,"2","2","2","1"
"261","1","2",1.36548241236158,"1",-0.145565028462316,"2","3","3","1"
"262","1","1",-0.567533059487881,"1",-1.01124584509415,"2","2","2","1"
"263","1","1",-0.567533059487881,"1",-0.567535015564821,"2","2","2","1"
"264","1","1",-0.567533059487881,"1",0.211182431359709,"3","3","3","1"
"265","1","1",-0.567533059487881,"2",1.03535800335851,"3","3","3","1"
"266","1","2",1.75208550673147,"1",1.36838818053309,"3","3","3","1"
"267","1","2",1.59744426898352,"4",0.793244076332485,"3","3","3","1"
"268","1","1",-0.567533059487881,"3",-0.590264078101958,"2","2","3","1"
"269","1","2",-0.567533059487881,"0",-2.37400137721208,"1","1","2","1"
"270","2","1",-0.567533059487881,"2",-0.632757542845302,"2","2","2","1"
"271","1","1",-0.567533059487881,"0",0.981005897291445,"3","3","3","1"
"272","1","1",-0.567533059487881,"1",-1.0063047445426,"2","2","2","1"
"273","1","2",1.59744426898352,"3",0.827831780193346,"3","3","3","1"
"274","1","1",-0.567533059487881,"3",0.577812092284838,"3","3","3","1"
"275","1","2",1.59744426898352,"1",-0.374832094054309,"2","2","3","1"
"276","1","1",-0.567533059487881,"3",0.592635393939491,"3","2","2","1"
"277","2","1",-0.567533059487881,"0",0.744821290927281,"3","3","3","1"
"278","1","2",1.04959257682328,"2",-0.528006211152408,"2","2","2","2"
"279","1","2",1.36548241236158,"2",0.675645883205557,"3","3","3","1"
"280","2","1",-0.567533059487881,"3",0.664775461992145,"3","3","2","1"
"281","1","1",-0.567533059487881,"2",-0.340244390193449,"2","2","2","1"
"282","1","1",-0.567533059487881,"2",0.362380108237188,"3","3","3","1"
"283","1","2",2.29332983884932,"1",-0.0151199739013536,"2","2","2","1"
"284","1","2",1.59744426898352,"1",1.57294974336733,"3","3","3","1"
"285","1","1",-0.567533059487881,"3",0.39894425231867,"3","3","3","1"
"286","1","2",1.2881617934876,"2",-0.389655395708964,"2","2","2","1"
"287","1","1",-0.567533059487881,"2",-0.237469498721174,"2","2","2","1"
"288","1","1",-0.567533059487881,"2",1.01361716093169,"3","3","3","1"
"289","1","1",-0.567533059487881,"0",0.229958613455605,"3","3","3","1"
"290","1","1",-0.567533059487881,"1",2.06463254453663,"4","4","3","2"
"291","1","2",2.06136798222739,"0",1.38123504196713,"3","3","3","1"
"292","1","1",-0.567533059487881,"0",-2.3087788499316,"1","1","2","1"
"293","1","1",-0.567533059487881,"1",-0.465748344202858,"2","2","2","1"
"294","1","2",2.29332983884932,"5",-0.734544214207265,"2","2","2","2"
"295","1","2",0.824238080243732,"1",-0.442031061555411,"2","2","3","1"
"296","1","1",-0.567533059487881,"1",0.279369618971121,"3","3","2","1"
"297","1","1",-0.567533059487881,"2",-1.45693311484411,"2","2","3","1"
"298","1","1",-0.567533059487881,"0",-0.297750925450104,"2","2","3","1"
"299","1","1",-0.567533059487881,"4",0.674657663095249,"3","3","2","1"
"300","1","1",-0.567533059487881,"1",0.304075121728879,"3","3","3","1"
"301","1","1",-0.567533059487881,"2",-0.882777230753812,"2","2","2","1"
"302","1","1",-0.567533059487881,"1",1.90103881999035,"3","3","2","2"
"303","1","1",-0.567533059487881,"0",1.54626780038895,"3","4","4","2"
"304","1","1",-0.567533059487881,"1",0.546189048754907,"3","3","3","1"
"305","1","1",-0.567533059487881,"1",-0.977646361343602,"2","2","2","1"
"306","1","1",-0.567533059487881,"2",1.15987373725761,"3","3","3","1"
"307","1","1",-0.567533059487881,"1",2.12437656492048,"4","3","3","2"
"308","1","1",-0.567533059487881,"4",1.80419324917994,"3","3","3","2"
"309","1","1",-0.567533059487881,"0",0.104454659446194,"3","2","2","1"
"310","1","1",-0.567533059487881,"3",1.15987373725761,"3","3","3","1"
"311","1","1",-0.567533059487881,"1",1.67967751528084,"3","3","3","2"
"312","1","2",2.3706504577233,"1",0.810043818207762,"3","3","3","1"
"313","1","1",-0.567533059487881,"0",0.266522757537086,"3","3","3","1"
"314","1","1",-0.567533059487881,"0",-0.770120138178436,"2","2","2","1"
"315","1","1",-0.567533059487881,"0",-0.416337338687343,"2","3","2","1"
"316","1","1",-0.567533059487881,"1",-1.41048676965952,"2","2","2","1"
"317","1","2",1.59744426898352,"2",-0.657463045603061,"2","2","2","1"
"318","1","2",1.6747648878575,"3",-0.884753670974433,"2","2","3","1"
"319","1","2",1.05619993686567,"3",1.15196797637513,"3","3","3","1"
"320","2","2",1.90672674447943,"2",0.400920692539289,"3","2","3","2"
"321","1","1",-0.567533059487881,"0",0.701339606073627,"3","3","3","1"
"322","1","2",1.90672674447943,"1",-0.90649451340126,"2","2","2","1"
"323","1","1",-0.567533059487881,"0",-0.0803425011818342,"2","3","3","1"
"324","1","1",-0.567533059487881,"1",-0.9391057770415,"2","2","2","1"
"325","1","1",-0.567533059487881,"3",0.346568586472222,"3","3","2","1"
"326","1","2",1.75208550673147,"0",-2.18129845570157,"1","2","2","1"
"327","1","2",2.13868860110137,"1",-1.78699863168775,"2","2","3","1"
"328","1","2",1.98404736335341,"1",1.06500460666782,"3","3","3","1"
"329","1","1",-0.567533059487881,"0",0.446378817613564,"3","3","2","1"
"330","1","1",-0.567533059487881,"0",0.326804184266016,"3","2","2","1"
"331","1","1",-0.567533059487881,"3",0.765573913243797,"3","3","2","1"
"332","1","1",-0.567533059487881,"1",1.91981500208625,"3","3","3","2"
"333","1","1",-0.567533059487881,"7",-1.12884403822108,"2","2","2","2"
"334","1","1",-0.567533059487881,"0",0.352497907134084,"3","3","3","1"
"335","1","1",-0.567533059487881,"1",0.0224323902904387,"2","2","3","1"
"336","1","2",0.746917461369754,"1",-0.128765286587041,"2","2","3","1"
"337","1","1",-0.567533059487881,"0",0.282334279302052,"3","3","3","1"
"338","1","1",-0.567533059487881,"2",0.397956032208359,"3","3","2","1"
"339","1","1",-0.567533059487881,"2",1.43459892792388,"3","3","3","1"
"340","1","1",-0.567533059487881,"0",0.744821290927281,"3","3","3","1"
"341","1","1",-0.567533059487881,"1",0.592635393939491,"3","3","3","2"
"342","1","1",-0.567533059487881,"1",0.870325244936691,"3","3","2","1"
"343","1","2",2.06136798222739,"0",0.590658953718871,"3","3","3","1"
"344","1","2",1.05619993686567,"2",-2.22675658077584,"1","2","2","1"
"345","1","2",2.29332983884932,"1",-1.48954437848435,"2","2","2","1"
"346","1","1",-0.567533059487881,"3",0.788302975780933,"3","2","2","1"
"347","1","2",1.98404736335341,"1",-0.644616184169026,"2","2","2","1"
"348","1","1",-0.567533059487881,"1",0.239840814558707,"3","2","2","1"
"349","1","2",2.60261231434524,"3",-0.980611021674534,"2","2","2","1"
"350","1","1",-0.567533059487881,"4",-1.7721753300331,"2","2","3","2"
"351","1","1",-0.567533059487881,"4",0.229958613455605,"3","3","3","1"
"352","2","2",2.3706504577233,"4",1.11145095185241,"3","3","3","1"
"353","1","1",-0.567533059487881,"1",-1.26521841344391,"2","2","2","1"
"354","1","1",-0.567533059487881,"2",0.191418029153502,"3","3","3","1"
"355","2","1",-0.567533059487881,"2",1.13813289483079,"3","3","3","2"
"356","1","1",-0.567533059487881,"1",-1.13378513877263,"2","2","2","1"
"357","2","1",-0.567533059487881,"1",1.03239334302758,"3","3","3","1"
"358","1","2",1.21084117461363,"2",-0.945035097703363,"2","2","2","1"
"359","2","2",2.44797107659728,"1",-0.839295545900159,"2","2","2","1"
"360","1","2",1.6747648878575,"1",-0.186082052985039,"2","2","2","1"
"361","2","1",-0.567533059487881,"1",2.11152970348645,"4","3","3","2"
"362","1","1",-0.567533059487881,"0",-0.854118847554813,"2","2","3","1"
"363","1","2",2.21600921997535,"1",-0.240434159052105,"2","3","2","1"
"364","1","1",-0.567533059487881,"2",0.528401086769322,"3","3","2","1"
"365","1","1",-0.567533059487881,"0",-0.214740436184038,"2","2","3","1"
"366","1","1",-0.567533059487881,"1",2.02333047022359,"4","4","3","2"
"367","1","1",-0.567533059487881,"4",0.40092069253929,"3","2","2","1"
"368","1","1",-0.567533059487881,"1",-0.823484024135193,"2","3","2","1"
"369","1","1",-0.567533059487881,"1",-1.67335331900207,"2","2","2","1"
"370","1","1",-0.567533059487881,"0",0.814984918759313,"3","3","3","1"
"371","1","1",-0.567533059487881,"1",0.584729633057009,"3","3","3","1"
"372","1","1",-0.567533059487881,"2",0.58571785316732,"3","3","3","1"
